収支区分,取引口座,カードラベル,取引内容,マッチ条件,金額（最小値）,金額（最大値）,優先度,マッチ後のアクション,振替口座,取引テンプレート,取引先,適格請求書等,勘定科目,税区分,品目,部門,メモタグ（複数指定可・カンマ区切り）,セグメント1,セグメント2,セグメント3,備考,消込を実行する際の差額,差額金額の設定（消込の過小入金・出金）,勘定科目（消込の過小入金・出金）,税区分（消込の過小入金・出金）,品目（消込の過小入金・出金）,部門（消込の過小入金・出金）,メモタグ（複数指定可・カンマ区切り）（消込の過小入金・出金）,セグメント1（消込の過小入金・出金）,セグメント2（消込の過小入金・出金）,セグメント3（消込の過小入金・出金）,備考（消込の過小入金・出金）,勘定科目（消込の過小入金・出金の複合差額）,税区分（消込の過小入金・出金の複合差額）,品目（消込の過小入金・出金の複合差額）,部門（消込の過小入金・出金の複合差額）,メモタグ（複数指定可・カンマ区切り）（消込の過小入金・出金の複合差額）,セグメント1（消込の過小入金・出金の複合差額）,セグメント2（消込の過小入金・出金の複合差額）,セグメント3（消込の過小入金・出金の複合差額）,備考（消込の過小入金・出金の複合差額）,差額金額の設定（消込の過剰入金・出金）,勘定科目（消込の過剰入金・出金）,税区分（消込の過剰入金・出金）,品目（消込の過剰入金・出金）,部門（消込の過剰入金・出金）,メモタグ（複数指定可・カンマ区切り）（消込の過剰入金・出金）,セグメント1（消込の過剰入金・出金）,セグメント2（消込の過剰入金・出金）,セグメント3（消込の過剰入金・出金）,備考（消込の過剰入金・出金）
支出,横浜（法人）（API）*1434,,ｺｳｻﾞﾌﾘｶｴ AP(ﾄﾁﾓﾄ,部分一致,,,0,取引テンプレートを推測する,,仕入高,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｱﾌﾗﾂｸAPS,部分一致,,,0,取引を登録する,,,アフラック生命保険㈱,取引先情報に準拠,保険料,対象外,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ﾃﾞﾝｻﾝｼｽﾃﾑ,部分一致,22000,22000,0,取引を登録する,,,㈱電算システム,取引先情報に準拠,支払手数料,課対仕入,,,"",,,,月額利用料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,電話料,部分一致,,,0,取引を登録する,,,,該当する,通信費,課対仕入,電話代,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,かながわ信金（法人）（API）,,　　　　　　　　　　　アメツクス,部分一致,,,0,振替を登録する,アメリカン・エキスプレス - ビジネス・カード（API）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ﾔｸｻﾞｲｼ ｺｸﾎ,部分一致,,,0,取引を登録する,,,,該当しない,法定福利費,対象外,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人） 秦野支店 当座 ***3179,,ｺｳｻﾞﾌﾘｶｴ NS ASAHIﾈﾂﾄ,部分一致,,,0,取引を登録する,,,㈱朝日ネット,取引先情報に準拠,通信費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,DROPBOX,部分一致,,,0,取引を登録する,,,Dropbox,取引先情報に準拠,通信費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,日経ＣＮＢＣ,部分一致,,,0,取引を登録する,,,㈱日経CNBC,取引先情報に準拠,新聞図書費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,CANVA,部分一致,,,0,取引を登録する,,,Canva,取引先情報に準拠,通信費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,ADOBE,部分一致,,,0,取引を登録する,,,アドビ㈱,取引先情報に準拠,通信費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,かながわ信金（法人）（API）,,手数料　　　　　　　　ＦＢ基本料,部分一致,,,0,取引を登録する,,,かながわ信用金庫,取引先情報に準拠,支払手数料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,タイムズ,部分一致,,,0,取引を登録する,,,タイムズ24㈱,取引先情報に準拠,旅費交通費,課対仕入,駐車料金,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,"NOTION LABS, INC.",部分一致,,,0,取引を登録する,,,Notion,取引先情報に準拠,通信費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,かながわ信金（法人）（API）,,手数料　　　　　　　　ＦＢ振込料,部分一致,,,0,取引を登録する,,,かながわ信用金庫,取引先情報に準拠,支払手数料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,ヤマト運輸,部分一致,,,0,取引を登録する,,,ヤマト運輸㈱,取引先情報に準拠,荷造運賃,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｿﾝﾎﾟｼﾞﾔﾊﾟﾝ,部分一致,,,0,取引を登録する,,,損害保険ジャパン㈱,取引先情報に準拠,保険料,対象外,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ﾃｽｳﾘﾖｳ,部分一致,,,0,取引を登録する,,,,該当する,支払手数料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,ＤＭＭ,部分一致,,,0,取引を登録する,,,DMM,取引先情報に準拠,通信費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,ＮＴＴコミュニケーションズ,部分一致,,,0,取引を登録する,,,NTTドコモビジネス㈱,取引先情報に準拠,通信費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,ＬＩＮＥ公式アカウント　東京都　新宿区,部分一致,,,0,取引を登録する,,,LINEヤフー㈱,取引先情報に準拠,通信費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）*3681,,ﾃｽｳﾘﾖｳ,部分一致,,,0,取引を登録する,,,,該当する,支払手数料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｼﾞﾔﾂｸｽ,部分一致,,,0,取引を登録する,,,㈱ジャックス,取引先情報に準拠,長期未払金,対象外,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,PIXTA,部分一致,,,0,取引を登録する,,,ピクスタ㈱,取引先情報に準拠,通信費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ﾃﾞﾝｷﾀﾞｲ,部分一致,,,0,取引を登録する,,,,該当する,水道光熱費,課対仕入,電気代,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｿｳｺﾞｳｹｲﾋﾞ,部分一致,,,0,取引を登録する,,,,該当する,支払手数料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
